3004,a
3006,a
3010,b
3011,a
3013,a
3018,a
3019,a
3023,a
3024,a
3034,b
3035,b
3036,a
3037,a
3042,a
3050,a
3051,a
3054,a
3055,a
3056,a
3066,a
3069,a
3075,b
3078,a
3080,b
3083,a
3084,a
3088,a
3093,a
3094,a
3095,a
3098,a
3102,b
3106,a
3107,a
3108,a
3109,a
3111,a
3112,a
3117,b
3127,a
3128,a
3130,a
3133,a
3140,a
3147,a
3153,b
3154,a
3156,a
3159,b
3161,a
3162,a
3170,a
3175,a
3182,a
3190,b
3191,a
3199,a
3206,a
3208,a
3214,a
3218,a
3230,a
3232,a
3236,a
3237,a
3238,a
3239,a
3240,a
3242,a
3247,a
3249,a
3251,a
3270,a
3293,a
3297,a
3298,a
3300,a
3302,a
3303,a
3304,a
3311,a
3312,a
3319,a
3320,a
3321,a
3324,b
3326,a
3328,a
3332,a
3336,a
3337,a
3338,a
3340,a
3341,a
3342,b
3343,a
3351,a
3354,a
3357,a
3360,a
3361,a
3369,a
3371,b
3374,a
3375,a
3377,a
3378,a
3381,a
3388,a
3390,a
3391,a
3393,a
3397,a
3398,b
3399,a
3402,a
3406,a
3412,b
